product_name,series,mae_before,mae_after,mape_before,mape_after,improved
Bananas,Total,321.16,321.16,6958.13,6958.13,False
Bananas,Midwest,86.81,86.81,472.34,472.34,False
Bananas,Northeast,106.59,106.59,2136.02,2136.02,False
Bananas,Southeast,130.3,130.3,8241.83,8241.83,False
Bananas,Southwest,118.66,118.66,7900.31,7900.31,False
Bananas,West,155.63,155.63,10178.62,10178.62,False
Bananas,STORE_001,10.6,10.6,4.44,4.44,False
Bananas,STORE_002,9.88,9.88,4.44,4.44,False
Bananas,STORE_003,22.01,22.01,8.89,8.89,False
Bananas,STORE_004,18.07,18.07,7.78,7.78,False
Bananas,STORE_005,26.86,26.86,1150.14,1150.14,False
Bananas,STORE_006,61.2,61.2,5585.11,5585.11,False
Bananas,STORE_007,1.94,1.94,1.11,1.11,False
Bananas,STORE_008,3.92,3.92,3.33,3.33,False
Bananas,STORE_009,7.41,7.41,3.33,3.33,False
Bananas,STORE_010,6.44,6.44,2.22,2.22,False
Bananas,STORE_011,59.66,59.66,5864.79,5864.79,False
Bananas,STORE_012,10.33,10.33,3.33,3.33,False
Bananas,STORE_013,3.02,3.02,2.22,2.22,False
Bananas,STORE_014,11.08,11.08,1027.77,1027.77,False
Bananas,STORE_015,3.62,3.62,3.33,3.33,False
Bananas,STORE_016,37.93,37.93,3252.1,3252.1,False
Bananas,STORE_017,7.5,7.5,2.22,2.22,False
Bananas,STORE_018,60.85,60.85,3999.69,3999.69,False
Bananas,STORE_019,6.92,6.92,3.33,3.33,False
Bananas,STORE_020,11.98,11.98,5.56,5.56,False
Bananas,STORE_021,41.21,41.21,2639.96,2639.96,False
Bananas,STORE_022,9.61,9.61,5.56,5.56,False
Bananas,STORE_023,18.26,18.26,7.78,7.78,False
Bananas,STORE_024,11.33,11.33,4.44,4.44,False
Bananas,STORE_025,5.7,5.7,4.44,4.44,False
Bananas,STORE_026,7.62,7.62,3.33,3.33,False
Bananas,STORE_027,6.1,6.1,610.0,610.0,False
Bananas,STORE_028,4.37,4.37,3.33,3.33,False
Bananas,STORE_029,2.2,2.2,1.11,1.11,False
Bananas,STORE_030,57.43,57.43,4744.05,4744.05,False
Bananas,STORE_031,10.71,10.71,4.44,4.44,False
Bananas,STORE_032,3.31,3.31,1.11,1.11,False
Bananas,STORE_033,0.0,0.0,0.0,0.0,False
Bananas,STORE_034,2.14,2.14,2.22,2.22,False
Bananas,STORE_035,4.43,4.43,2.22,2.22,False
Bananas,STORE_036,5.2,5.2,2.22,2.22,False
Bananas,STORE_037,13.52,13.52,4.44,4.44,False
Bananas,STORE_038,8.99,8.99,4.44,4.44,False
Bananas,STORE_039,0.64,0.64,2.22,2.22,False
Bananas,STORE_040,5.18,5.18,2.22,2.22,False
Bananas,STORE_041,18.33,18.33,6.67,6.67,False
Bananas,STORE_042,3.89,3.89,4.44,4.44,False
Bananas,STORE_043,19.99,19.99,6.67,6.67,False
Bananas,STORE_044,14.91,14.91,5.56,5.56,False
Bananas,STORE_045,8.96,8.96,3.33,3.33,False
Bananas,STORE_046,109.41,109.41,10749.9,10749.9,False
Bananas,STORE_047,29.12,29.12,2231.37,2231.37,False
Bananas,STORE_048,7.66,7.66,3.33,3.33,False
Bananas,STORE_049,0.0,0.0,0.0,0.0,False
Bananas,STORE_050,8.01,8.01,5.56,5.56,False
Beef,Total,251.49,251.49,4301.63,4301.63,False
Beef,Midwest,110.24,110.24,7467.79,7467.79,False
Beef,Northeast,171.68,171.68,8373.74,8373.74,False
Beef,Southeast,107.91,107.91,3963.87,3963.87,False
Beef,Southwest,103.78,103.78,4213.78,4213.78,False
Beef,West,101.37,101.37,3598.45,3598.45,False
Beef,STORE_001,103.74,103.74,10267.54,10267.54,False
Beef,STORE_002,5.09,5.09,1.11,1.11,False
Beef,STORE_003,26.68,26.68,2192.16,2192.16,False
Beef,STORE_004,20.49,20.49,1532.62,1532.62,False
Beef,STORE_005,12.63,12.63,5.56,5.56,False
Beef,STORE_006,13.09,13.09,6.67,6.67,False
Beef,STORE_007,12.67,12.67,3.33,3.33,False
Beef,STORE_008,11.13,11.13,5.56,5.56,False
Beef,STORE_009,8.88,8.88,5.56,5.56,False
Beef,STORE_010,60.83,60.83,5235.53,5235.53,False
Beef,STORE_011,9.5,9.5,4.44,4.44,False
Beef,STORE_012,11.22,11.22,4.44,4.44,False
Beef,STORE_013,24.96,24.96,1242.42,1242.42,False
Beef,STORE_014,2.94,2.94,2.22,2.22,False
Beef,STORE_015,6.68,6.68,4.44,4.44,False
Beef,STORE_016,11.1,11.1,5.56,5.56,False
Beef,STORE_017,9.82,9.82,4.44,4.44,False
Beef,STORE_018,4.63,4.63,3.33,3.33,False
Beef,STORE_019,5.43,5.43,3.33,3.33,False
Beef,STORE_020,7.16,7.16,2.22,2.22,False
Beef,STORE_021,36.39,36.39,2220.08,2220.08,False
Beef,STORE_022,10.97,10.97,3.33,3.33,False
Beef,STORE_023,12.88,12.88,4.44,4.44,False
Beef,STORE_024,35.11,35.11,2844.47,2844.47,False
Beef,STORE_025,6.61,6.61,4.44,4.44,False
Beef,STORE_026,10.53,10.53,3.33,3.33,False
Beef,STORE_027,3.16,3.16,2.22,2.22,False
Beef,STORE_028,11.54,11.54,5.56,5.56,False
Beef,STORE_029,9.63,9.63,4.44,4.44,False
Beef,STORE_030,10.97,10.97,3.33,3.33,False
Beef,STORE_031,33.95,33.95,2767.49,2767.49,False
Beef,STORE_032,5.89,5.89,2.22,2.22,False
Beef,STORE_033,2.12,2.12,3.33,3.33,False
Beef,STORE_034,8.59,8.59,5.56,5.56,False
Beef,STORE_035,42.2,42.2,4220.0,4220.0,False
Beef,STORE_036,8.71,8.71,4.44,4.44,False
Beef,STORE_037,8.54,8.54,2.22,2.22,False
Beef,STORE_038,12.42,12.42,6.67,6.67,False
Beef,STORE_039,6.2,6.2,3.33,3.33,False
Beef,STORE_040,16.02,16.02,4.44,4.44,False
Beef,STORE_041,7.01,7.01,3.33,3.33,False
Beef,STORE_042,4.11,4.11,3.33,3.33,False
Beef,STORE_043,8.01,8.01,4.44,4.44,False
Beef,STORE_044,23.61,23.61,8.89,8.89,False
Beef,STORE_045,11.32,11.32,3.33,3.33,False
Beef,STORE_046,4.6,4.6,3.33,3.33,False
Beef,STORE_047,2.94,2.94,2.22,2.22,False
Beef,STORE_048,69.46,69.46,5796.61,5796.61,False
Beef,STORE_049,29.04,29.04,2010.3,2010.3,False
Beef,STORE_050,9.24,9.24,5.56,5.56,False
Berries,Total,314.41,314.41,6850.2,6850.2,False
Berries,Midwest,75.89,75.89,3219.06,3219.06,False
Berries,Northeast,139.4,139.4,3811.11,3811.11,False
Berries,Southeast,112.89,112.89,2644.75,2644.75,False
Berries,Southwest,144.3,144.3,11519.17,11519.17,False
Berries,West,142.78,142.78,6938.06,6938.06,False
Berries,STORE_001,5.98,5.98,3.33,3.33,False
Berries,STORE_002,11.62,11.62,5.56,5.56,False
Berries,STORE_003,11.39,11.39,3.33,3.33,False
Berries,STORE_004,46.79,46.79,3994.59,3994.59,False
Berries,STORE_005,13.91,13.91,6.67,6.67,False
Berries,STORE_006,15.28,15.28,5.56,5.56,False
Berries,STORE_007,6.56,6.56,3.33,3.33,False
Berries,STORE_008,42.96,42.96,3460.12,3460.12,False
Berries,STORE_009,4.1,4.1,1.11,1.11,False
Berries,STORE_010,25.88,25.88,789.82,789.82,False
Berries,STORE_011,1.39,1.39,1.11,1.11,False
Berries,STORE_012,14.31,14.31,6.67,6.67,False
Berries,STORE_013,8.52,8.52,3.33,3.33,False
Berries,STORE_014,15.79,15.79,7.78,7.78,False
Berries,STORE_015,7.52,7.52,3.33,3.33,False
Berries,STORE_016,14.86,14.86,5.56,5.56,False
Berries,STORE_017,2.97,2.97,1.11,1.11,False
Berries,STORE_018,10.56,10.56,4.44,4.44,False
Berries,STORE_019,0.0,0.0,0.0,0.0,False
Berries,STORE_020,27.56,27.56,1857.7,1857.7,False
Berries,STORE_021,8.71,8.71,3.33,3.33,False
Berries,STORE_022,44.89,44.89,3772.78,3772.78,False
Berries,STORE_023,81.35,81.35,7577.32,7577.32,False
Berries,STORE_024,4.09,4.09,2.22,2.22,False
Berries,STORE_025,7.41,7.41,4.44,4.44,False
Berries,STORE_026,9.09,9.09,5.56,5.56,False
